Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
283,Jaylen Wright,RB,RB69,MIA,MIA,9,9,48.2,5.36,45.7,5.08,43.2,4.8,249.0,69,63.0,34.0,265,235,-5.57,-50.16,3.0,1.36,13.18,3.8,5.52,1.0309,16.7,0.4,0,0.0,7,0.7778,2,0.2222,0,11.0,75,8.33,79,8.78,0.0412,332,36.89,332,2,0.22,19,1,1,0,0.64,0.61,4.43,4.11,8.8,4.89,0.5556,0.0267,-3.78,12.0,0,0,0,0,0,,,,,,70,288,2,9,5,44,0
285,Audric Estimé,RB,RB70,NO,NO,5,5,48.1,9.62,42.1,8.42,36.1,7.22,146.0,70,34.0,139.0,276,270,-1.31,-6.55,3.0,3.3,16.32,8.0,6.55,0.6809,16.8,1.1,0,0.0,3,0.6,2,0.4,0,12.0,58,11.6,59,11.8,0.0732,301,60.2,301,1,0.2,15,0,0,0,0.83,0.82,5.19,4.3,8.58,7.92,0.9231,0.0172,-0.15,9.0,0,0,0,0,0,,,,,,46,198,1,13,12,103,0
292,Jerome Ford,RB,RB71,CLE,CLE,13,13,43.6,3.35,30.6,2.35,17.6,1.35,328.0,71,82.0,-36.0,309,348,-7.58,-98.48,3.0,0.12,7.56,3.0,3.29,0.9797,10.4,-0.3,0,0.0,12,0.9231,0,0.0,0,27.0,50,3.85,56,4.31,0.0725,176,13.54,176,0,0.0,9,0,0,0,0.87,0.78,3.52,3.04,3.96,3.22,0.8125,0.0,-1.53,5.92,0,0,0,0,0,,,,,,24,73,0,32,26,103,0
296,Malik Davis,RB,RB72,DAL,DAL,10,9,40.6,4.06,39.6,3.96,38.6,3.86,295.0,72,74.0,1.0,283,260,-6.87,-68.69,3.0,0.27,10.8,2.15,4.81,1.1847,11.7,0.0,0,0.0,7,0.7,2,0.2,0,21.0,54,5.4,57,5.7,0.0141,266,26.6,266,2,0.2,11,0,0,0,0.75,0.71,4.93,4.81,8.0,3.2,0.4,0.037,3.6,3.0,0,0,0,0,0,,,,,,52,250,2,5,2,16,0
299,Zavier Scott,RB,RB73,MIN,MIN,11,9,39.2,3.56,32.2,2.93,25.2,2.29,317.0,73,81.0,-18.0,301,307,-7.37,-81.02,3.0,0.0,6.0,2.7,4.67,1.3101,16.4,-0.2,0,0.0,10,0.9091,1,0.0909,0,18.0,46,4.18,48,4.36,0.0435,212,19.27,212,1,0.09,13,1,1,0,0.85,0.82,4.61,3.56,7.0,6.12,0.875,0.0217,1.06,7.5,0,0,0,0,0,,,,,,32,114,0,16,14,98,1
303,Ameer Abdullah,RB,RB74,IND,IND,13,12,37.9,2.92,29.9,2.3,21.9,1.68,343.0,74,84.0,-40.0,312,322,-8.01,-104.18,3.0,0.28,6.18,1.8,2.72,0.9337,9.7,0.0,0,0.0,13,1.0,0,0.0,0,30.0,30,2.31,31,2.38,0.0433,159,12.23,159,1,0.08,7,0,0,0,1.26,1.22,5.3,4.29,6.19,5.82,0.9412,0.0333,-0.18,6.56,0,0,0,0,0,,,,,,14,60,1,17,16,99,0
306,Hunter Luepke,RB,RB75,DAL,DAL,14,11,37.0,2.64,30.5,2.18,24.0,1.71,358.0,75,86.0,-52.0,310,313,-8.29,-116.01,3.0,0.0,6.59,1.85,2.83,1.0701,8.7,0.0,0,0.0,14,1.0,1,0.0714,0,24.0,29,2.07,31,2.21,0.0334,180,12.86,180,1,0.07,12,0,0,0,1.28,1.19,6.21,4.44,8.38,7.27,0.8667,0.0345,-0.2,9.15,0,0,0,0,0,,,,,,16,71,0,15,13,109,1
313,Trey Benson,RB,RB76,ARI,ARI,4,4,35.4,8.85,28.9,7.23,22.4,5.6,155.0,76,38.0,158.0,317,319,-2.08,-8.32,3.0,8.19,9.83,8.45,1.05,0.1183,10.4,8.1,0,0.0,3,0.75,0,0.0,0,29.0,42,10.5,45,11.25,0.1293,224,56.0,224,0,0.0,6,0,0,0,0.84,0.79,5.33,5.52,4.92,4.0,0.8125,0.0,-1.38,5.62,0,0,0,0,0,,,,,,29,160,0,16,13,64,0
313,Tyler Badie,RB,RB76,DEN,DEN,16,14,35.4,2.21,25.9,1.62,16.4,1.03,381.0,76,90.0,-68.0,330,355,-8.72,-139.47,3.0,0.0,4.4,2.35,1.7,0.7674,4.8,0.0,0,0.0,16,1.0,0,0.0,0,45.0,27,1.69,39,2.44,0.0533,164,10.25,164,0,0.0,10,0,0,0,1.31,0.91,6.07,2.88,7.42,4.55,0.6129,0.0,-1.42,11.05,0,0,0,0,0,,,,,,8,23,0,31,19,141,0
316,Kendre Miller,RB,RB78,NO,NO,7,7,33.3,4.76,30.8,4.4,28.3,4.04,264.0,78,67.0,52.0,308,295,-6.17,-43.21,3.0,1.48,8.54,4.2,3.91,0.8227,12.5,0.7,0,0.0,6,0.8571,0,0.0,0,25.0,52,7.43,52,7.43,0.0213,223,31.86,223,1,0.14,10,0,0,0,0.64,0.64,4.29,4.11,6.0,6.0,1.0,0.0192,-1.0,7.0,0,0,0,0,0,,,,,,47,193,1,5,5,30,0
316,James Conner,RB,RB78,ARI,ARI,3,3,33.3,11.1,29.3,9.77,25.3,8.43,,78,,,316,306,0.17,0.51,,7.8,13.96,12.2,3.97,0.3573,14.4,6.7,0,0.0,1,0.3333,1,0.3333,0,16.0,40,13.33,41,13.67,0.0985,133,44.33,133,2,0.67,11,0,0,0,0.83,0.81,3.32,2.97,4.75,4.22,0.8889,0.05,-1.0,8.5,0,0,0,0,0,,,,,,32,95,1,9,8,38,1
320,Chris Brooks,RB,RB80,GB,GB,17,14,32.7,1.92,26.2,1.54,19.7,1.16,395.0,80,92.0,-75.0,327,333,-9.01,-153.1,3.0,0.0,4.92,1.3,2.02,1.0476,6.1,0.0,0,0.0,17,1.0,0,0.0,0,41.0,40,2.35,44,2.59,0.0359,197,11.59,197,0,0.0,8,0,0,0,0.82,0.74,4.92,3.93,7.0,5.35,0.7647,0.0,0.35,8.15,0,0,0,0,0,,,,,,27,106,0,17,13,91,0
327,Jaleel McLaughlin,RB,RB81,DEN,DEN,8,8,31.4,3.92,29.4,3.68,27.4,3.42,304.0,81,75.0,23.0,315,300,-7.0,-56.04,3.0,0.28,7.28,4.0,2.83,0.722,8.4,0.0,0,0.0,8,1.0,0,0.0,0,32.0,41,5.12,43,5.38,0.0255,214,26.75,214,1,0.12,10,0,0,0,0.77,0.73,5.22,5.05,6.75,4.5,0.6667,0.0244,-3.83,9.75,0,0,0,0,0,,,,,,37,187,1,6,4,27,0
337,Jawhar Jordan,RB,RB82,HOU,HOU,4,4,29.7,7.43,26.2,6.55,22.7,5.68,191.0,82,49.0,146.0,327,317,-3.5,-14.02,3.0,1.29,13.26,7.8,6.51,0.8762,13.8,0.3,0,0.0,2,0.5,1,0.25,0,17.0,50,12.5,50,12.5,0.056,227,56.75,227,0,0.0,10,0,0,0,0.59,0.59,4.54,4.49,4.86,4.86,1.0,0.0,-0.86,5.71,0,0,0,0,0,,,,,,43,193,0,7,7,34,0
339,Raheem Mostert,RB,RB83,LV,LV,12,12,29.4,2.45,23.4,1.95,17.4,1.45,369.0,83,88.0,-30.0,345,350,-8.48,-101.75,3.0,0.66,4.83,2.05,2.3,0.9376,8.3,-0.4,0,0.0,12,1.0,0,0.0,0,41.0,34,2.83,34,2.83,0.0349,174,14.5,174,0,0.0,11,0,0,0,0.86,0.86,5.12,4.73,5.83,5.83,1.0,0.0,-1.33,7.17,0,0,0,0,0,,,,,,22,104,0,12,12,70,0
349,Miles Sanders,RB,RB84,DAL,DAL,4,4,26.7,6.68,22.7,5.68,18.7,4.68,208.0,84,53.0,141.0,350,339,-4.25,-17.02,3.0,4.15,9.42,6.4,2.88,0.4318,9.9,4.0,0,0.0,4,1.0,0,0.0,0,31.0,28,7.0,28,7.0,0.0474,147,36.75,147,1,0.25,5,1,1,0,0.95,0.95,5.25,5.85,3.75,3.75,1.0,0.0357,-1.75,5.5,0,0,0,0,0,,,,,,20,117,1,8,8,30,0
352,Jaret Patterson,RB,RB85,LAC,LAC,6,6,25.7,4.28,24.2,4.03,22.7,3.78,285.0,85,71.0,67.0,338,318,-6.65,-39.88,3.0,0.1,9.05,3.7,4.32,1.0077,11.4,0.1,0,0.0,5,0.8333,0,0.0,0,27.0,44,7.33,45,7.5,0.0175,167,27.83,167,1,0.17,8,0,0,0,0.58,0.57,3.8,3.88,2.67,2.0,0.75,0.0227,-0.25,2.67,0,0,0,0,0,,,,,,41,159,1,4,3,8,0
356,LeQuint Allen Jr.,RB,RB86,JAX,JAX,16,14,24.8,1.55,19.8,1.24,14.8,0.92,416.0,86,98.0,-60.0,360,366,-9.38,-150.07,3.0,0.1,2.7,1.65,1.05,0.6791,3.6,0.0,0,0.0,16,1.0,0,0.0,0,51.0,33,2.06,34,2.12,0.0211,148,9.25,148,0,0.0,5,0,0,0,0.75,0.73,4.48,4.09,5.4,4.91,0.9091,0.0,-1.36,6.1,0,0,0,0,0,,,,,,23,94,0,11,10,54,0
359,Rasheen Ali,RB,RB87,BAL,BAL,15,8,24.2,1.61,19.7,1.31,15.2,1.01,410.0,87,97.0,-51.0,362,360,-9.32,-139.74,3.0,0.0,3.1,0.0,2.92,1.8098,11.2,0.0,0,0.0,14,0.9333,1,0.0667,0,24.0,16,1.07,18,1.2,0.0365,92,6.13,92,1,0.07,3,0,0,0,1.51,1.34,5.75,3.43,7.56,6.18,0.8182,0.0625,-0.09,9.22,0,0,0,0,0,,,,,,7,24,0,11,9,68,1
361,Dare Ogunbowale,RB,RB88,HOU,HOU,14,9,24.1,1.72,19.1,1.36,14.1,1.01,406.0,88,96.0,-45.0,365,368,-9.21,-128.91,3.0,0.0,5.29,1.05,2.24,1.3014,6.5,0.0,0,0.0,14,1.0,0,0.0,0,38.0,21,1.5,24,1.71,0.0305,101,7.21,101,1,0.07,4,1,1,0,1.15,1.0,4.81,2.27,7.6,5.85,0.7692,0.0476,1.85,5.6,0,0,0,0,0,,,,,,11,25,1,13,10,76,0
364,Antonio Gibson,RB,RB89,NE,NE,5,5,23.2,4.64,22.2,4.44,21.2,4.24,268.0,89,68.0,96.0,352,324,-6.29,-31.45,3.0,0.5,9.36,3.6,4.41,0.9503,9.8,0.3,0,0.0,5,1.0,0,0.0,0,32.0,27,5.4,28,5.6,0.0203,112,22.4,112,2,0.4,6,1,1,0,0.86,0.83,4.15,4.24,3.0,2.0,0.6667,0.037,-2.0,8.0,0,0,0,0,0,,,,,,25,106,1,3,2,6,0
370,George Holani,RB,RB90,SEA,SEA,10,4,20.8,2.08,19.8,1.98,18.8,1.88,387.0,90,91.0,-17.0,360,338,-8.85,-88.49,3.0,0.0,6.31,0.3,3.24,1.5567,9.1,0.0,0,0.0,10,1.0,0,0.0,0,31.0,24,2.4,24,2.4,0.01,88,8.8,88,2,0.2,6,1,1,0,0.87,0.87,3.67,3.32,7.5,7.5,1.0,0.0417,-0.5,8.0,0,0,0,0,0,,,,,,22,73,1,2,2,15,0
