Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
120,Marquise Brown,WR,WR44,KC,KC,16,16,137.7,8.61,113.2,7.07,88.7,5.54,161.0,44,56.0,-41.0,132,141,-1.99,-31.9,4.0,1.85,16.35,8.5,5.69,0.6608,20.5,0.0,1,0.0625,13,0.8125,6,0.375,0,8.0,49,3.06,74,4.62,0.142,587,36.69,587,5,0.31,29,0,0,0,2.81,1.86,11.98,,11.98,7.93,0.6622,0.102,11.3,3.88,0,0,0,0,0,,,,,,0,0,0,74,49,587,5
122,Jordan Addison,WR,WR45,MIN,MIN,14,14,135.1,9.65,114.1,8.15,93.1,6.65,145.0,45,50.0,-23.0,131,135,-0.95,-13.3,4.0,2.64,15.31,9.3,5.66,0.5867,21.8,0.0,1,0.0714,8,0.5714,7,0.5,0,11.0,44,3.14,81,5.79,0.1822,691,49.36,691,4,0.29,28,0,0,0,3.07,1.67,15.7,40.5,14.52,7.72,0.5316,0.0909,13.71,3.31,0,0,0,0,0,,,,,,2,81,1,79,42,610,3
124,Christian Watson,WR,WR46,GB,GB,10,10,132.4,13.24,114.9,11.49,97.4,9.74,71.0,46,19.0,53.0,128,129,2.64,26.4,4.0,5.68,22.56,11.2,7.67,0.5793,24.9,3.7,3,0.3,5,0.5,6,0.6,1,5.0,36,3.6,56,5.6,0.2031,614,61.4,614,6,0.6,28,0,0,0,3.68,2.36,17.06,3.0,17.46,11.11,0.6364,0.1667,17.76,3.37,0,0,0,0,0,,,,,,1,3,0,55,35,611,6
129,Jayden Higgins,WR,WR47,HOU,HOU,17,17,129.5,7.62,109.0,6.41,88.5,5.21,184.0,47,63.0,-55.0,137,142,-2.98,-50.7,4.0,1.4,14.36,7.2,5.37,0.705,16.8,0.0,0,0.0,11,0.6471,8,0.4706,0,11.0,41,2.41,68,4.0,0.1238,525,30.88,525,6,0.35,28,0,0,0,3.16,1.9,12.8,,12.8,7.72,0.6029,0.1463,12.34,3.0,0,0,0,0,0,,,,,,0,0,0,68,41,525,6
131,Chimere Dike,WR,WR48,TEN,TEN,17,17,128.1,7.54,104.1,6.12,80.1,4.71,188.0,48,65.0,-57.0,147,154,-3.06,-52.1,4.0,1.5,16.6,5.0,6.48,0.8596,21.4,-0.4,1,0.0588,11,0.6471,6,0.3529,0,10.0,59,3.47,85,5.0,0.139,441,25.94,441,6,0.35,20,0,0,0,2.17,1.51,7.47,1.64,8.81,5.72,0.6486,0.0678,8.09,4.58,0,0,0,0,0,,,,,,11,18,0,74,48,423,4
132,Luther Burden III,WR,WR49,CHI,CHI,15,15,127.9,8.53,104.4,6.96,80.9,5.39,165.0,49,58.0,-33.0,146,152,-2.07,-31.1,4.0,1.14,17.64,7.6,7.54,0.8844,27.8,0.7,1,0.0667,11,0.7333,6,0.4,1,1.0,53,3.53,66,4.4,0.1305,689,45.93,689,2,0.13,30,0,0,0,2.41,1.94,13.0,6.17,13.87,10.87,0.7833,0.0377,7.67,7.11,0,0,0,0,0,,,,,,6,37,0,60,47,652,2
133,Marvin Harrison Jr.,WR,WR50,ARI,ARI,12,12,127.8,10.65,107.3,8.94,86.8,7.23,122.0,50,41.0,11.0,140,144,0.05,0.6,4.0,2.63,18.55,10.35,7.1,0.667,22.6,0.0,1,0.0833,6,0.5,6,0.5,0,6.0,41,3.42,73,6.08,0.1805,608,50.67,608,4,0.33,30,0,0,1,3.12,1.75,14.83,,14.83,8.33,0.5616,0.0976,12.96,2.9,0,0,0,0,0,,,,,,0,0,0,73,41,608,4
141,Kayshon Boutte,WR,WR51,NE,NE,14,14,124.1,8.86,107.6,7.69,91.1,6.51,154.0,51,53.0,-13.0,139,136,-1.74,-24.3,4.0,2.66,16.44,6.05,7.37,0.8317,26.3,0.0,1,0.0714,9,0.6429,5,0.3571,1,4.0,33,2.36,46,3.29,0.1198,551,39.36,551,6,0.43,27,0,0,0,3.76,2.7,16.7,,16.7,11.98,0.7174,0.1818,16.98,1.15,0,0,0,0,0,,,,,,0,0,0,46,33,551,6
146,Jerry Jeudy,WR,WR52,CLE,CLE,17,17,120.7,7.1,95.7,5.63,70.7,4.16,199.0,52,70.0,-53.0,155,168,-3.5,-59.5,4.0,2.82,13.6,5.1,5.22,0.7347,19.8,0.0,0,0.0,13,0.7647,5,0.2941,0,11.0,51,3.0,107,6.29,0.2053,607,35.71,607,2,0.12,32,1,1,0,2.37,1.13,11.9,5.0,12.04,5.68,0.4717,0.0392,12.15,3.32,0,0,0,0,0,,,,,,1,5,0,106,50,602,2
152,Malik Washington,WR,WR53,MIA,MIA,17,17,116.7,6.86,93.7,5.51,70.7,4.16,203.0,53,72.0,-51.0,159,168,-3.74,-63.5,4.0,3.2,10.84,7.0,3.32,0.4836,13.6,1.5,0,0.0,14,0.8235,3,0.1765,0,20.0,63,3.71,82,4.82,0.1442,427,25.12,427,5,0.29,21,1,1,0,1.85,1.42,6.78,6.47,6.89,4.88,0.7077,0.0635,5.18,5.5,0,0,0,0,0,,,,,,17,110,1,65,46,317,3
153,Elic Ayomanor,WR,WR54,TEN,TEN,16,16,116.5,7.28,96.0,6.0,75.5,4.72,194.0,54,68.0,-41.0,153,161,-3.32,-53.1,4.0,2.9,13.75,7.0,4.24,0.5822,15.6,1.5,0,0.0,13,0.8125,4,0.25,0,21.0,41,2.56,89,5.56,0.1848,515,32.19,515,4,0.25,30,0,0,0,2.84,1.31,12.56,,12.56,5.79,0.4607,0.0976,12.65,2.8,0,0,0,0,0,,,,,,0,0,0,89,41,515,4
154,Cooper Kupp,WR,WR55,SEA,SEA,16,16,116.3,7.27,92.8,5.8,69.3,4.33,195.0,55,69.0,-41.0,161,172,-3.33,-53.3,4.0,2.85,11.95,6.0,4.05,0.5577,16.0,1.6,0,0.0,12,0.75,5,0.3125,0,21.0,47,2.94,70,4.38,0.1599,593,37.06,593,2,0.12,26,2,1,1,2.47,1.66,12.62,,12.62,8.47,0.6714,0.0426,7.6,6.23,0,1,0,0,1,0.0,0.0,9.0,0.0,0.0,0,0,0,70,47,593,2
157,Terry McLaurin,WR,WR56,WAS,WAS,10,10,114.2,11.42,95.2,9.52,76.2,7.62,108.0,56,37.0,49.0,156,160,0.82,8.2,4.0,6.86,16.57,10.1,5.1,0.4466,22.6,4.7,1,0.1,5,0.5,6,0.6,0,8.0,38,3.8,60,6.0,0.2323,582,58.2,582,3,0.3,33,0,0,0,3.01,1.9,15.32,,15.32,9.7,0.6333,0.0789,13.98,2.45,0,0,0,0,0,,,,,,0,0,0,60,38,582,3
