Rank (PPR),Player,Pos,Pos Rank Label,Team,Teams,G,G Active,PPR Pts,PPR PPG,Half PPR Pts,Half PPR PPG,Std Pts,Std PPG,Rank (PPG),Pos Rank,Pos Rank (PPG),Rank Delta,Rank (Half),Rank (Std),VOR PPG,VORP Total,Tier,Floor (P10),Ceiling (P90),Median Wk,Std Dev,CV,Best Wk,Worst Wk,Boom Wks,Boom Rate,Bust Wks,Bust Rate,Starter Wks,Starter Wk Rate,Top 5 Wks,Best Pos Finish,Touches,Touches/G,Opportunities,Opp/G,Target Share (Avg),Scrim Yds,Scrim Yds/G,Total Yds,Total TDs,TDs/G,First Downs,Turnovers,Fumbles Lost,2PT Conv,Pts/Touch,Pts/Opp,Yds/Touch,YPC,YPR,YPT,Catch Rate,TD Rate,aDOT,YAC/Rec,Comp,Att,Pass Yds,Pass TD,INT,Comp %,YPA,Air Yds/Att,TD:INT,Sack Rate,Carries,Rush Yds,Rush TD,Targets,Rec,Rec Yds,Rec TD
2,Puka Nacua,WR,WR1,LA,LA,16,16,375.0,23.44,310.5,19.41,246.0,15.38,2.0,1,1.0,0.0,11,20,12.84,205.4,1.0,13.75,35.85,22.95,10.21,0.4356,46.5,4.8,10,0.625,1,0.0625,15,0.9375,9,1.0,139,8.69,176,11.0,0.3013,1820,113.75,1820,11,0.69,85,1,1,0,2.7,2.13,13.09,10.5,13.29,10.33,0.7771,0.0791,9.43,5.16,0,0,0,0,0,,,,,,10,105,1,166,129,1715,10
7,Jaxon Smith-Njigba,WR,WR2,SEA,SEA,17,17,359.9,21.17,300.4,17.67,240.9,14.17,7.0,2,2.0,0.0,14,22,10.57,179.7,2.0,13.84,28.94,20.6,7.48,0.3534,37.1,4.3,10,0.5882,1,0.0588,16,0.9412,4,1.0,126,7.41,170,10.0,0.3677,1829,107.59,1829,10,0.59,81,1,1,0,2.86,2.12,14.52,5.14,15.07,11.0,0.7301,0.0794,11.25,4.44,0,0,0,0,0,,,,,,7,36,0,163,119,1793,10
11,Amon-Ra St. Brown,WR,WR3,DET,DET,17,17,324.0,19.06,265.5,15.62,207.0,12.18,15.0,3,4.0,-4.0,22,35,8.46,143.8,3.0,7.58,33.62,18.0,10.93,0.5734,41.4,0.0,7,0.4118,4,0.2353,13,0.7647,5,1.0,120,7.06,175,10.29,0.3166,1410,82.94,1410,11,0.65,72,0,0,0,2.7,1.85,11.75,3.0,11.97,8.15,0.6802,0.0917,8.08,4.87,0,0,0,0,0,,,,,,3,9,0,172,117,1401,11
16,Ja'Marr Chase,WR,WR4,CIN,CIN,16,16,313.6,19.6,251.1,15.69,188.6,11.79,14.0,4,3.0,2.0,24,42,9.0,144.0,3.0,6.65,32.75,20.5,10.26,0.5236,38.1,4.6,8,0.5,4,0.25,12,0.75,7,1.0,128,8.0,188,11.75,0.3207,1426,89.12,1426,8,0.5,73,1,1,0,2.45,1.67,11.14,4.67,11.3,7.63,0.6757,0.0625,8.49,5.12,0,0,0,0,0,,,,,,3,14,0,185,125,1412,8
21,George Pickens,WR,WR5,DAL,DAL,17,17,291.9,17.17,245.4,14.44,198.9,11.7,27.0,5,6.0,-6.0,26,37,6.57,111.7,4.0,6.18,30.48,14.8,9.65,0.562,33.4,1.9,5,0.2941,4,0.2353,14,0.8235,5,1.0,93,5.47,137,8.06,0.2252,1429,84.06,1429,9,0.53,73,0,0,1,3.14,2.13,15.37,,15.37,10.43,0.6788,0.0968,11.29,5.15,0,0,0,0,0,,,,,,0,0,0,137,93,1429,9
27,Chris Olave,WR,WR6,NO,NO,16,16,268.0,16.75,218.0,13.62,168.0,10.5,30.0,6,8.0,-3.0,38,50,6.15,98.4,4.0,8.85,26.35,15.2,7.91,0.4725,36.8,6.0,5,0.3125,3,0.1875,13,0.8125,3,2.0,101,6.31,157,9.81,0.2918,1160,72.5,1160,9,0.56,53,1,0,0,2.65,1.71,11.49,-3.0,11.63,7.46,0.641,0.0891,11.8,2.89,0,1,0,0,1,0.0,0.0,4.0,0.0,0.0,1,-3,0,156,100,1163,9
31,Zay Flowers,WR,WR7,BAL,BAL,17,17,243.3,14.31,200.3,11.78,157.3,9.25,57.0,7,13.0,-26.0,44,57,3.71,63.1,4.0,6.48,23.96,13.0,7.48,0.5229,29.8,0.6,4,0.2353,3,0.1765,14,0.8235,2,1.0,96,5.65,128,7.53,0.2988,1273,74.88,1273,6,0.35,51,3,3,0,2.53,1.9,13.26,6.2,14.08,10.26,0.7288,0.0625,10.2,5.33,0,0,0,0,0,,,,,,10,62,1,118,86,1211,5
42,Nico Collins,WR,WR8,HOU,HOU,15,15,226.2,15.08,190.7,12.71,155.2,10.35,46.0,8,11.0,-4.0,48,58,4.48,67.2,4.0,7.42,23.14,14.5,6.5,0.431,24.2,5.5,5,0.3333,5,0.3333,11,0.7333,3,4.0,73,4.87,122,8.13,0.2424,1132,75.47,1132,7,0.47,49,1,1,1,3.1,1.85,15.51,7.5,15.73,9.31,0.5917,0.0959,12.74,4.56,0,0,0,0,0,,,,,,2,15,1,120,71,1117,6
43,Davante Adams,WR,WR9,LA,LA,14,14,222.9,15.92,192.9,13.78,162.9,11.64,38.0,9,9.0,5.0,47,51,5.32,74.5,4.0,7.34,23.14,15.1,6.84,0.4296,26.5,6.9,5,0.3571,4,0.2857,10,0.7143,1,3.0,60,4.29,114,8.14,0.2515,789,56.36,789,14,1.0,51,0,0,0,3.72,1.96,13.15,,13.15,6.92,0.5263,0.2333,12.67,1.95,0,0,0,0,0,,,,,,0,0,0,114,60,789,14
45,Michael Wilson,WR,WR10,ARI,ARI,17,17,220.6,12.98,181.6,10.68,142.6,8.39,75.0,10,21.0,-30.0,57,70,2.38,40.4,4.0,2.76,26.48,8.4,10.6,0.8171,37.2,1.5,4,0.2353,10,0.5882,7,0.4118,2,1.0,78,4.59,126,7.41,0.1922,1006,59.18,1006,7,0.41,51,0,0,0,2.83,1.75,12.9,,12.9,7.98,0.619,0.0897,11.92,3.5,0,0,0,0,0,,,,,,0,0,0,126,78,1006,7
46,A.J. Brown,WR,WR11,PHI,PHI,15,15,220.3,14.69,181.3,12.09,142.3,9.49,50.0,11,12.0,-4.0,58,71,4.09,61.3,4.0,2.94,26.86,12.1,9.75,0.664,35.2,1.8,4,0.2667,5,0.3333,10,0.6667,4,1.0,78,5.2,121,8.07,0.2866,1003,66.87,1003,7,0.47,47,0,0,0,2.82,1.82,12.86,,12.86,8.29,0.6446,0.0897,11.78,3.44,0,0,0,0,0,,,,,,0,0,0,121,78,1003,7
47,Jameson Williams,WR,WR12,DET,DET,17,17,219.9,12.94,187.4,11.02,154.9,9.11,76.0,12,22.0,-29.0,51,59,2.34,39.7,4.0,1.2,24.9,13.4,8.96,0.6929,26.9,0.0,3,0.1765,7,0.4118,10,0.5882,3,2.0,71,4.18,108,6.35,0.1862,1129,66.41,1129,7,0.41,49,0,0,0,3.1,2.04,15.9,2.0,17.18,10.95,0.6373,0.0986,12.64,6.78,0,0,0,0,0,,,,,,6,12,0,102,65,1117,7
48,Courtland Sutton,WR,WR13,DEN,DEN,17,17,219.7,12.92,182.7,10.75,145.7,8.57,77.0,13,23.0,-29.0,55,65,2.32,39.5,4.0,2.26,21.88,12.2,7.48,0.5791,24.3,1.5,3,0.1765,7,0.4118,12,0.7059,2,3.0,74,4.35,124,7.29,0.2107,1017,59.82,1017,7,0.41,52,0,0,1,2.97,1.77,13.74,,13.74,8.2,0.5968,0.0946,12.44,3.0,0,0,0,0,0,,,,,1.0,0,0,0,124,74,1017,7
50,Wan'Dale Robinson,WR,WR14,NYG,NYG,16,16,217.9,13.62,171.9,10.74,125.9,7.87,67.0,14,17.0,-17.0,63,83,3.02,48.3,4.0,4.8,25.25,11.85,8.19,0.6014,30.6,3.6,4,0.25,6,0.375,10,0.625,3,2.0,95,5.94,143,8.94,0.3027,1019,63.69,1019,4,0.25,40,0,0,0,2.29,1.52,10.73,1.67,11.02,7.24,0.6571,0.0421,8.48,4.2,0,0,0,0,0,,,,,,3,5,0,140,92,1014,4
54,Tetairoa McMillan,WR,WR15,CAR,CAR,17,17,213.4,12.55,178.4,10.49,143.4,8.44,81.0,15,24.0,-27.0,59,67,1.95,33.2,4.0,5.58,18.46,11.5,7.07,0.563,33.0,1.5,1,0.0588,5,0.2941,12,0.7059,1,2.0,70,4.12,122,7.18,0.2574,1014,59.65,1014,7,0.41,55,0,0,0,3.05,1.75,14.49,,14.49,8.31,0.5738,0.1,11.56,3.84,0,0,0,0,0,,,,,,0,0,0,122,70,1014,7
55,Tee Higgins,WR,WR16,CIN,CIN,15,15,211.6,14.11,182.1,12.14,152.6,10.17,62.0,16,16.0,-7.0,56,61,3.51,52.6,4.0,6.24,24.96,11.4,8.23,0.5831,33.1,2.5,3,0.2,5,0.3333,11,0.7333,2,2.0,59,3.93,98,6.53,0.1826,846,56.4,846,11,0.73,41,0,0,1,3.59,2.16,14.34,,14.34,8.63,0.602,0.1864,13.41,2.81,0,0,0,0,0,,,,,,0,0,0,98,59,846,11
57,Stefon Diggs,WR,WR17,NE,NE,17,17,210.3,12.37,167.8,9.87,125.3,7.37,86.0,17,26.0,-29.0,67,87,1.77,30.1,4.0,5.48,22.38,11.7,6.81,0.5506,24.6,4.0,3,0.1765,7,0.4118,9,0.5294,1,4.0,85,5.0,102,6.0,0.2186,1013,59.59,1013,4,0.24,51,0,0,0,2.47,2.06,11.92,,11.92,9.93,0.8333,0.0471,8.54,4.16,0,0,0,0,0,,,,,,0,0,0,102,85,1013,4
62,Michael Pittman,WR,WR18,IND,IND,17,17,202.4,11.91,162.4,9.55,122.4,7.2,94.0,18,30.0,-32.0,73,92,1.31,22.2,4.0,3.4,20.62,13.7,7.49,0.6291,23.5,2.3,4,0.2353,8,0.4706,9,0.5294,1,3.0,80,4.71,111,6.53,0.2065,784,46.12,784,7,0.41,47,0,0,1,2.53,1.82,9.8,,9.8,7.06,0.7207,0.0875,8.17,3.24,0,0,0,0,0,,,,,,0,0,0,111,80,784,7
63,Drake London,WR,WR19,ATL,ATL,12,12,201.9,16.82,167.9,13.99,133.9,11.16,28.0,19,7.0,35.0,66,74,6.22,74.7,4.0,5.72,31.12,15.65,11.45,0.6808,38.8,1.4,4,0.3333,4,0.3333,8,0.6667,4,1.0,68,5.67,112,9.33,0.2971,919,76.58,919,7,0.58,46,1,1,1,2.97,1.8,13.51,,13.51,8.21,0.6071,0.1029,10.9,3.37,0,0,0,0,0,,,,,,0,0,0,112,68,919,7
64,DeVonta Smith,WR,WR20,PHI,PHI,17,17,201.8,11.87,163.3,9.61,124.8,7.34,96.0,20,31.0,-32.0,71,89,1.27,21.6,4.0,4.56,19.64,9.3,7.8,0.657,33.3,1.8,2,0.1176,10,0.5882,8,0.4706,1,2.0,77,4.53,113,6.65,0.2458,1008,59.29,1008,4,0.24,44,0,0,0,2.62,1.79,13.09,,13.09,8.92,0.6814,0.0519,11.99,3.81,0,0,0,0,0,,,,,,0,0,0,113,77,1008,4
65,Justin Jefferson,WR,WR21,MIN,MIN,17,17,201.5,11.85,159.5,9.38,117.5,6.91,97.0,21,32.0,-32.0,77,99,1.25,21.3,4.0,3.76,18.76,12.5,5.79,0.4887,22.6,2.4,1,0.0588,6,0.3529,10,0.5882,0,8.0,86,5.06,143,8.41,0.3067,1055,62.06,1055,2,0.12,47,0,0,0,2.34,1.41,12.27,3.5,12.48,7.43,0.5957,0.0233,10.2,5.37,0,0,0,0,0,,,,,,2,7,0,141,84,1048,2
66,CeeDee Lamb,WR,WR22,DAL,DAL,13,13,200.9,15.45,163.4,12.57,125.9,9.68,44.0,22,10.0,22.0,70,83,4.85,63.1,4.0,9.9,21.64,17.1,5.98,0.3873,24.2,1.4,3,0.2308,2,0.1538,11,0.8462,1,5.0,76,5.85,118,9.08,0.251,1079,83.0,1079,3,0.23,43,0,0,0,2.64,1.7,14.2,2.0,14.36,9.21,0.641,0.0395,11.99,4.31,0,0,0,0,0,,,,,,1,2,0,117,75,1077,3
67,Emeka Egbuka,WR,WR23,TB,TB,17,17,195.7,11.51,164.2,9.66,132.7,7.81,105.0,23,36.0,-38.0,69,75,0.91,15.5,4.0,4.04,23.54,9.0,8.42,0.7315,31.3,1.8,4,0.2353,10,0.5882,7,0.4118,3,1.0,65,3.82,129,7.59,0.2356,947,55.71,947,6,0.35,34,0,0,1,3.01,1.52,14.57,4.5,14.89,7.39,0.4961,0.0923,12.38,5.32,0,0,0,0,0,,,,,,2,9,0,127,63,938,6
